Disease,Symptoms,Ayurvedic Treatment
Acne (Yauvan Pidika),"Pimples on face, Oily skin, Redness","Turmeric, Aloe Vera, Neem, Sandalwood, Triphala"
Chronic Fatigue Syndrome,"Persistent fatigue, Muscle weakness","Ashwagandha, Brahmi, Shatavari, Ginseng"
Rheumatoid Arthritis (Ama Vata),"Joint swelling, Pain, Stiffness","Guggul, Boswellia, Turmeric, Ginger, Ashwagandha"
Polycystic Ovary Syndrome,"Irregular periods, Weight gain","Shatavari, Ashwagandha, Turmeric, Triphala, Fenugreek"
GERD (Amlapitta),"Acid reflux, Heartburn","Triphala, Amla, Licorice, Aloe Vera, Guduchi"
Vitiligo (Shwitra),"White patches on skin, Itching","Bakuchi, Guggul, Neem, Turmeric, Aloe Vera"
Gallbladder Stones (Pitta Ashmari),"Upper abdominal pain, Vomiting","Trikatu, Triphala, Castor oil, Turmeric"
Urticaria (Sheetapitta),"Red rashes, Itching","Aloe Vera, Neem, Turmeric, Guduchi, Triphala"
Epistaxis (Nosebleed),"Blood from nostrils, Dizziness","Triphala, Brahmi, Turmeric, Coconut oil"
Kidney Stones (Vrukka Ashmari),"Severe back pain, Painful urination","Gokshura, Pashanbhed, Punarnava, Guggul, Triphala"
Migraine,"Severe headache, Sensitivity to light","Ashwagandha, Brahmi, Turmeric, Shankhapushpi"
Jaundice (Kamala),"Yellowing of skin, Dark urine","Kutki, Bhringraj, Amla, Triphala, Turmeric"
Common Cold (Pratishyaya),"Sneezing, Runny nose","Ginger, Tulsi, Turmeric, Honey, Triphala"
Asthma (Tamaka Shwasa),"Wheezing, Shortness of breath","Tulsi, Ashwagandha, Licorice, Trikatu, Ginger"
Diarrhea (Atisara),"Loose stools, Abdominal pain","Pomegranate, Bael, Amla, Ginger, Triphala"
Constipation (Vibandha),"Difficulty passing stools, Bloating","Triphala, Isabgol, Castor oil, Ashwagandha, Aloe Vera"
Sinusitis (Peenas),"Nasal congestion, Headache","Turmeric, Tulsi, Ginger, Triphala, Nasya oil"
Hypertension (Raktachap),"Headache, Fatigue, Shortness of breath","Arjuna, Ashwagandha, Brahmi, Guduchi, Triphala"
Bronchitis (Kasa),"Persistent cough, Chest discomfort","Tulsi, Ginger, Licorice, Triphala, Cinnamon"
Anemia (Panduroga),"Fatigue, Pale skin, Shortness of breath","Ashwagandha, Shatavari, Amla, Gokshura, Triphala"
Tuberculosis (Rajayakshma),"Persistent cough, Night sweats","Ashwagandha, Brahmi, Licorice, Guduchi, Triphala"
Diabetes (Madhumeha),"Increased thirst, Frequent urination","Bitter melon, Amla, Fenugreek, Gymnema, Turmeric"
Malaria (Plasmodium infection),"Fever, Chills, Sweating","Guduchi, Tulsi, Neem, Ashwagandha, Triphala"
Hypertension (Raktachap),"Headache, Swelling in legs","Arjuna, Brahmi, Triphala, Ashwagandha"
Stroke (Pakshaghata),"Numbness, Confusion, Dizziness","Brahmi, Ashwagandha, Guggul, Triphala, Bhringraj"
Arthritis (Vata Vata),"Joint pain, Stiffness, Swelling","Guggul, Ashwagandha, Turmeric, Boswellia, Triphala"
Influenza (Flu),"Fever, Cough, Muscle aches","Turmeric, Ginger, Honey, Tulsi, Triphala"
Pneumonia (Shwasa),"Fever, Shortness of breath, Chest pain","Ginger, Licorice, Tulsi, Triphala, Pippali"
Psoriasis (Kitibha),"Red patches on skin, Dry skin","Neem, Turmeric, Aloe Vera, Guggul, Triphala"
Epilepsy (Apasmara),"Seizures, Loss of consciousness","Brahmi, Shankhapushpi, Ashwagandha, Jatamansi"
Asthma (Tamaka Shwasa),"Difficulty breathing, Wheezing","Tulsi, Ashwagandha, Trikatu, Ginger, Licorice"
Gout (Vatarakta),"Joint pain, Swelling","Guggul, Triphala, Turmeric, Fenugreek, Ginger"
Leprosy (Kushtha),"Numbness, Discoloration of skin","Bakuchi, Triphala, Turmeric, Neem, Guggul"
Chickenpox (Varicella),"Red spots on skin, Itching","Neem, Turmeric, Aloe Vera, Triphala, Sandalwood"
Diphtheria (Kali Purna),"Sore throat, Fever, Difficulty swallowing","Triphala, Licorice, Honey, Turmeric, Ginger"
Hepatitis (Kamala),"Jaundice, Dark urine","Kutki, Bhringraj, Amla, Turmeric, Triphala"
Dysentery (Atisara),"Diarrhea, Abdominal pain","Bael, Pomegranate, Triphala, Ginger, Amla"
Tuberculosis (Rajayakshma),"Persistent cough, Night sweats","Ashwagandha, Brahmi, Licorice, Guduchi, Triphala"
